title,overview,popularity,vote_count,original_language,vote_average,release_date
The Parallax View,An ambitious reporter gets in trouble while investigating a senator's assassination which leads to a vast conspiracy involving a multinational corporation behind every event in the world's headlines.,2.0748,321,en,6.8,1974-06-14
Pusher,A drug pusher grows increasingly desperate after a botched deal leaves him with a large debt to a ruthless drug lord.,1.9236,762,da,7.0,1996-08-30
Muhammad Ali: The Greatest,"Hear from the people who knew him best, from experts of the world of boxing, relive the legendary fights and explore the life of boxing's greatest symbol, Ali.",1.0804,1,en,10.0,2014-01-01
Magic,A thrilling tale of two people going through major ups and downs; and then not knowing it particularly.,2.168,1,bn,4.0,2021-02-12
Cell,"When a strange signal pulsates through all cell phone networks worldwide, it starts a murderous epidemic of epic proportions when users become bloodthirsty creatures, and a group of people in New England are among the survivors to deal with the ensuing chaos after.",2.1835,1071,en,4.7,2016-07-06
New Golden Lotus II,,1.8905,4,cn,5.8,1996-03-15
P.S. Girls,"Eun-joo dreams of being a plastic surgery specialist while she works as a nurse. At night, she has a job as Nabi, having sex on the phone to come up with money for her dad's medical bills. La Belle's madam Big Mama pays her girls in advance and forces them to do sexual activities like body cams while she rips them off their money. At La Belle are Candy, Cherry, Eunmi and other girls with stories but have sex on the phone with men.  Meanwhile, Joon-ho, Eun-joo's hospital director starts showing interest in Eun-joo who looks like his dead wife and they develop a romantic relationship. However, Eun-joo doesn't open up to him so he starts to feel disappointed. Joon-ho starts getting obssessed with her the more she pushes away from him until one day he sees her going to her night job.",2.0965,17,ko,5.4,2016-02-04
Taxi 3,"A gang of thieves calling themselves the Santa Claus Gang are wreaking havoc, and the police can't keep up. Police Captain Gilbert is distracted by a Chinese reporter writing a story on his squad, and taxi driver Daniel is in the midst of a relationship crisis. After a string of mistakes in which the thieves outsmart the police time and time again, Daniel and his super-taxi pitch in.",2.6864,1533,fr,5.732,2003-01-29
Goodnight Mommy,"In the heat of the summer lays a lonesome house in the countryside where nine year old twin brothers await their mother’s return.  When she comes home, bandaged after cosmetic surgery, nothing is like before and the children start to doubt whether this woman is actually who she says she is.",2.1777,1590,de,6.678,2015-01-08
Superman: Doomsday,"When LexCorp accidentally unleashes a murderous creature, Superman meets his greatest challenge as a champion. Based on the ""The Death of Superman"" storyline that appeared in DC Comics' publications in the 1990s.",5.9872,650,en,6.745,2007-09-18
Dispatched,"Officer Carl Thomas was revered by his colleagues for his fearlessness at going after the bad guys, but Thomas had a dark side. In Dispatched, you will learn how God changed the heart of a street-hardened cop into an ambassador of God's love, and how through God, an entire community was changed.",0.8785,0,en,0.0,2020-05-04
Andhadhun,A series of mysterious events changes the life of a blind pianist who now must report a crime that was actually never witnessed by him.,1.9423,532,hi,7.641,2018-10-05
Catch-22,"A bombardier in World War II tries desperately to escape the insanity of the war. However, sometimes insanity is the only sane way to cope with a crazy situation.",3.3682,309,en,6.7,1970-06-24
A Single Evening,"A queer musical short film about dating and loneliness. Minnie, an annoyed and single bisexual woman, navigates her way through yet another lonely night while personified dating apps serenade her with songs about her inability to find love.",1.2118,4,en,8.4,2020-02-28
The Choice,Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.,2.2535,1906,en,7.201,2016-02-04
The Searchers,"As a Civil War veteran spends years searching for a young niece captured by Indians, his motivation becomes increasingly questionable.",2.1926,1441,en,7.692,1956-05-16
National Security,"Earl Montgomery, a bombastic police academy reject, and Hank Rafferty, a disgraced, mild-mannered cop, can't seem to escape each other. They met on opposite sides of the law during a routine traffic stop that escalated out of control; now as lowly security guards they're thrown together to bust a smuggling operation.",2.1613,994,en,6.0,2003-01-17
The Saint,"Simon Templar (The Saint), is a thief for hire, whose latest job to steal the secret process for cold fusion puts him at odds with a traitor bent on toppling the Russian government, as well as the woman who holds its secret.",1.8692,1131,en,6.098,1997-04-03
Love Story,"Harvard Law student Oliver Barrett IV and music student Jennifer Cavilleri share a chemistry they cannot deny - and a love they cannot ignore. Despite their opposite backgrounds, the young couple put their hearts on the line for each other. When they marry, Oliver's wealthy father threatens to disown him. Jenny tries to reconcile the Barrett men, but to no avail.",1.9969,697,en,6.8,1970-12-16
Taking Lives,"Recruited to assist Montreal police in their desperate search for a serial killer who assumes the identities of his victims, FBI profiler Illeana Scott knows it's only a matter of time before the killer strikes again. Her most promising lead is a museum employee who might be the killer's only eyewitness.",2.0782,1631,en,6.4,2004-03-19
The Burial,"When a handshake deal goes sour, funeral home owner Jeremiah O'Keefe enlists charismatic, smooth-talking attorney Willie E. Gary to save his family business. Tempers flare and laughter ensues as the unlikely pair bond while exposing corporate corruption and racial injustice.",1.8947,518,en,7.116,2023-10-06
Be Cool,"Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music executive along the way.",1.9257,902,en,5.469,2005-03-04
Rushmore,"When a beautiful first-grade teacher arrives at a prep school, she soon attracts the attention of an ambitious teenager named Max, who quickly falls in love with her. Max turns to the father of two of his schoolmates for advice on how to woo the teacher. However, the situation soon gets complicated when Max's new friend becomes involved with her, setting the two pals against one another in a war for her attention.",2.1195,2523,en,7.398,1998-12-11
Vermiglio,"Set in the small, mountainous village of Vermiglio during the waning days of WWII, a series of dramatic, consequential events unfold after the arrival of a taciturn Sicilian soldier, who hides out in town after deserting the army. While there, the soldier develops a romance with a provincial family’s eldest daughter.",1.5431,187,it,7.0,2024-09-19
Pokémon the Movie: Hoopa and the Clash of Ages,"Ash, Pikachu, and their friends come to a desert city by the sea. Here they meet the Mythical Pokémon Hoopa, which has the ability to summon things—including people and Pokémon—through its magic rings. After a scary incident, they learn of a story about a brave hero who stopped the rampage of a terrifying Pokémon long ago. Now, the threat that has been bottled up for years is in danger of breaking loose again.",2.1011,284,ja,6.8,2015-07-18
Island of Desire,"A nurse is assigned to work at an island called Isla Bato, where men treat women with lust. As she experiences the people's madness, she plans a way to get out of the island.",2.4215,10,tl,4.4,2022-04-01
Hanu-Man,"In a small village, Hanumanthu, a petty thief, finds a mysterious gem, that gives him god-like powers. Will he succeed in keeping these powers from falling into the wrong hands and save his village?",3.3767,25,te,6.4,2024-01-11
Unsupersize Us,"Unsupersize Us is the follow up to the award-winning film Unsupersize Me. Director Juan-Carlos Asse takes five subjects from his hometown that all suffer from common health issues and puts them on regimen of a plant based diet and exercise for six weeks. The results are impressive as the five people quickly turn their health around in the six-week period. Asse tests the 5 subjects with many exciting physical challenges throughout the film. The film showcases cooking skills, healthy shopping, eating healthy on the road, and mental fortitude. An interesting twist occurs when Asse reveals his own trials and tribulations including a seven-year federal prison sentence... leading him to true freedom.",2.2501,0,en,0.0,2016-12-01
Ikiru,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",3.0157,1186,ja,8.3,1952-10-09
The Longest Day,"The retelling of June 6, 1944, from the perspectives of the Germans, US, British, Canadians, and the Free French. Marshall Erwin Rommel, touring the defenses being established as part of the Reich's Atlantic Wall, notes to his officers that when the Allied invasion comes they must be stopped on the beach. ""For the Allies as well as the Germans, it will be the longest day""",2.0871,957,en,7.6,1962-09-25
Under the Same Moon,"Tells the parallel stories of nine-year-old Carlitos and his mother, Rosario. In the hopes of providing a better life for her son, Rosario works illegally in the U.S. while her mother cares for Carlitos back in Mexico.",3.0127,285,es,7.714,2007-07-27
Young Mom,"A middle-aged man who lives with his song marries a sexy, young Korean-American woman. The son finds his father uncomfortable, but is drawn to his new step-mother.",2.3022,1,ko,1.0,2017-02-28
"Sex First, Love Second","Gong-soo works in an underwear company and has a crush on one of the new designers named Soo-yeon. Gong-soo is preparing a design PT for a major company when he decides to tell Soo-yeon how he feels about her. He looks for a chance to tell her but Chief Lee, a handsome and talented man gets in the way.",2.2751,8,ko,5.4,2017-08-03
Underworld,"A crook sets out to get revenge on the thugs who hurt his father in this bloody noir-style crime drama. After being released from prison, Johnny Crown goes after Frank, one of the mobsters involved in a series of Father's Day killings. But Johnny isn't certain Frank is responsible for his father's injuries and seeks help from a sex therapist to make sure he's got the right man.",0.9769,20,en,5.2,1996-06-01
Asterix at the Olympic Games,"Astérix and Obélix have to win the Olympic Games in order to help their friend Alafolix marry Princess Irina. Brutus uses every trick in the book to have his own team win the game, and get rid of his father Julius Caesar in the process.",2.1469,2007,fr,5.2,2008-01-25
The Art of Losing,"The story of Victor, a thirty year old boy suffering from the Spanish recession, who has no job, no girlfriend and an unfairly bad relationship with his parents.",2.1214,2,es,2.0,2015-11-28
Effigy: Poison and the City,"1828 in the German port city of Bremen: Two very different women collide in an age that has no place for either of them. One strives for a career in law, at a time when women aren't even admitted to universities. The other has lived life outside the law and may now have to pay the tab. One of them needs to get her head together – while the other would do anything not to lose hers. -- Based on a true story.",0.8474,5,de,6.8,2020-10-09
Bleach the Movie: Hell Verse,"Hell – A place where beings that have committed mortal sins during their lifetime are sent. It is a realm where even Soul Reapers are forbidden to interfere. When a group of vicious Sinners plot to escape from this eternal prison, they discover that Substitute Soul Reaper Ichigo Kurosaki is the key to their freedom.",1.9483,185,ja,7.6,2010-12-04
Rumble in the Bronx,"Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head.",2.0206,1056,cn,6.809,1995-01-21
Re:Zero - Starting Life in Another World Memory Snow,"Subaru and friends finally get a moment of peace, and Subaru goes on a certain secret mission that he must not let anyone find out about! However, even though Subaru is wearing a disguise, Petra and other children of the village immediately figure out who he is. Now that his mission was exposed within five seconds of it starting, what will happen with Subaru's ""date course"" with Emilia?",2.2076,278,ja,7.2,2018-10-06
The Perfect Romance,"The woman of Brandon's dreams walks through his office door. For the first time ever, he is star stuck by Adriana's natural beauty and brilliance. But, will this woman change him forever and make him realize there's more to life than lies?",1.1625,2,en,1.0,2017-07-25
The Sim Racer,Luke Wallace finds out he will lose his home unless he comes up with $9600 in 30 days. He enters a sim race that pays $20000 to try to save his home. Will he win the race and save his house or will he lose everything?,0.7991,1,en,6.0,2023-03-04
Let Him Go,"Following the loss of their son, a retired sheriff and his wife leave their Montana ranch to rescue their young grandson from the clutches of a dangerous family living off the grid in the Dakotas.",1.8755,698,en,6.8,2020-11-05
Founders Day,A small town is shaken by a series of ominous killings in the days leading up to a heated mayoral election.,2.0333,42,en,4.417,2024-01-19
Renegades,"In the midst of the Balkan wars, a squad of Navy SEALs attempts to unravel a long-forgotten mystery after discovering an enormous treasure trove hidden at the bottom of a lake in Serbia.",2.0203,341,en,5.6,2017-08-21
Planet 51,"When Earth astronaut Capt. Chuck Baker arrives on Planet 51 -- a world reminiscent of American suburbia circa 1950 -- he tries to avoid capture, recover his spaceship and make it home safely, all with the help of an empathetic little green being.",2.2613,2047,en,5.862,2009-11-19
Blood Simple,"The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies and mischief ensues after he devises a plot to have them murdered.",2.2911,1459,en,7.243,1984-03-26
Arctic,"A man stranded in the Arctic is finally about to receive his long awaited rescue. However, after a tragic accident, his opportunity is lost and he must then decide whether to remain in the relative safety of his camp or embark on a deadly trek through the unknown for potential salvation.",1.6549,1241,en,6.5,2018-11-21
La Belle Époque,"Victor, a disillusioned 60-something whose marriage is on the rocks, opts to relive the week of his life when, 40 years earlier, he met his true love through a company that allows customers to return to the time period of their choosing.",1.4889,1017,fr,7.4,2019-11-06
Monster High: Fright On!,See what happens when the student bodies of an all-vampire school and an all-werewolf school integrate with Monster High.,2.2744,45,en,6.6,2011-10-31
Trapp Life,"Every dope boy is enticed by the flip, the flip of long money in a short time. So when Baby Mama gets locked up, Lucci is pulled deeper into the fast lane of money, power and hoes. Can Lucci live through the double-crossing game of trappin' in the hood? Can he flip the trap game for the rap game? Well they say he trap or die...So how do you get out the life when the life is a trap? Trapp Life.",1.1425,1,en,8.0,2013-07-09
Stealth,"Deeply ensconced in a top-secret military program, three pilots struggle to bring an artificial intelligence program under control ... before it initiates the next world war.",1.9877,1065,en,5.43,2005-07-27
Critters,"Carnivorous aliens arrive unannounced at a Kansas family farm; two intergalactic bounty hunters soon follow, determined to blow them off the planet.",2.0809,1000,en,6.5,1986-04-11
The Nanny Diaries,"A college graduate goes to work as a nanny for a rich New York family. Ensconced in their home, she has to juggle their dysfunction, a new romance, and the spoiled brat in her charge.",1.9491,1159,en,6.374,2007-08-24
"No Retreat, No Surrender","The mob is trying to strongarm local martial arts schools, forcing young Jason Stillwell and his family to move after his father is injured defending their dojo.  With his father now rejecting violence, Jason is forced to train on his own to protect himself and his best friend from the members of a rival karate school.",2.0089,574,en,6.3,1986-05-02
No Sudden Move,A group of criminals are brought together under mysterious circumstances and have to work together to uncover what's really going on when their simple job goes completely sideways.,2.0912,717,en,6.4,2021-06-24
Exorcist II: The Heretic,"Bizarre nightmares plague Regan MacNeil four years after her possession and exorcism. Has the demon returned? And if so, can the combined faith and knowledge of a Vatican investigator and a research specialist free her from its grasp?",2.1887,728,en,4.5,1977-06-17
Kabhi Khushi Kabhie Gham,"Years after his father disowns his adopted brother for marrying a woman of lower social standing, a young man goes on a mission to reunite his family.",2.2382,560,hi,7.7,2001-12-14
The Pining,"When members of Joe's therapy group start dying under mysterious circumstances, Detective Harris (Jackie Dallas) is forced to reopen a cold case. Her only lead: Father William - the group therapy leader who seems to know more than what is in his police statements.",1.1262,3,en,6.3,2019-01-26
"To Me, the One Who Loved You","Koyomi Hidaka and Shiori Sato meet at his father’s research center and begin to fall in love, but so do their parents, who eventually marry. To avoid becoming stepsiblings, they decide to run away to a parallel universe. Traveling between dimensions is common in their world, but not without repercussions. Does a universe exist for the young couple, and what will it cost them to find it?",1.9176,71,ja,6.0,2022-10-07
Walnut Tree,"Qader, a bricklayer from Sardasht in Kurdistan Iran whose wife is pregnant with her 4th child, suddenly found himself amid a war crime perpetrated by the Saddam regime. On June 28th, 1987 Iraqi air fighters dropped mustard gas bombs on the city...",0.9723,11,ku,7.0,2020-02-01
Turkish Passion,"A young woman’s passion forms the basis of this erotic Spanish drama adapted from a popular novel by Antonio Gala. The night before Desideria’s marriage, her girl friends give her some valuable advice on sex. The marriage takes place, and while it is generally happy, her husband Ramiro suffers from sexual dysfunction and Desideria is frustrated. The two end up on holiday in Istanbul with two friends. Desideria falls madly in love with the sensual ambiance of the ancient, teeming city. She begins a passionate affair with a handsome Turkish guide, Yaman. Upon her return home, she learns that she is pregnant. Ramiro agrees to support the child, but unfortunately it dies in infancy and the grieving Desideria flees for Istanbul to find her lover. She finds him and they renew their torrid affair. Later she learns some distressing things about Yaman, but this does not stop her from becoming his sexual slave and a call girl for wealthy carpet sellers.",1.8615,47,es,5.4,1994-11-18
Bandit,"After escaping a Michigan prison, a charming career criminal assumes a new identity in Canada and goes on to rob a record 59 banks and jewellery stores while being hunted by a rogue task force. Based on the true story of The Flying Bandit.",3.0765,348,en,6.25,2022-09-23
Ben 10: Secret of the Omnitrix,"After a battle with Dr. Animo in a power plant, Ben notices something strange is happening with the Omnitrix but doesn't tell anyone. Tetrax arrives and tells them the Omnitrix is broadcasting a self-destruct signal. Tetrax and Ben go to find the creator of the Omnitrix to fix it before it destroys itself and the universe along with it. Gwen stows away to help her cousin.",2.8931,239,en,7.341,2007-08-10
Day of the Dead: Bloodline,"In a world overrun by zombies, military personnel and survivalists live in an underground bunker while they seek a cure.",2.1015,628,en,4.7,2017-12-29
Kemah Terlarang: Kesurupan Massal,"A class camping trip goes wrong when evil forces possess the students, turning their adventure into a nightmarish battle to break free.",1.9581,5,id,6.3,2024-10-10
Sword Art Online: The Movie – Ordinal Scale,"In 2026, four years after the infamous Sword Art Online incident, a revolutionary new form of technology has emerged: the Augma, a device that utilizes an Augmented Reality system. Unlike the Virtual Reality of the NerveGear and the Amusphere, it is perfectly safe and allows players to use it while they are conscious, creating an instant hit on the market. The most popular application for the Augma is the game Ordinal Scale, which immerses players in a fantasy role-playing game with player rankings and rewards.  Following the new craze, Kirito's friends dive into the game, and despite his reservations about the system, Kirito eventually joins them. While at first it appears to be just fun and games, they soon find out that the game is not all that it seems...",2.2013,691,ja,7.7,2017-02-18
Oleg: The Oleg Vidov Story,"Oleg Vidov — one of the Soviet Union's most beloved actors — was persecuted, blacklisted and pushed to the breaking point before escaping to the West and achieving the American dream.",0.9225,1,en,5.0,2021-04-23
Mughizh,"A girl who is scared of dogs gets a puppy, which helps her overcome her fear, and teaches her about life and loss.",1.125,2,ta,3.5,2021-10-08
The Wild,"Woo-chul used to be a successful boxer, but he had to go to prison because his opponent died in the middle of a match. Now that he’s been released, he intends to become a model citizen. Meanwhile, his friend Do-shik will do whatever it takes to get ahead. After choosing different paths, they will be forced to plot against and betray one another.",1.8518,21,ko,5.2,2023-11-15
Sphere,"A spacecraft is discovered on the floor of the Pacific Ocean, presumed to be at least 300 years old and of alien origin. A crack team of scientists and experts is assembled and taken to the Habitat, a state-of-the-art underwater living environment, to investigate.",2.0783,1663,en,6.1,1998-02-13
The KFC,"Five Kiwis take on a paragliding adventure in Tanzania, with the ultimate aim to fly from the summit of Mt Kilimanjaro.",1.1768,1,en,10.0,2020-06-27
The Soldier with Great Maneuvers,Doctor Eva Marini takes up a position at an army base to investigate the sexual behavior of the Italian male soldier and soon finds out she's taken on more than she bargained for.,2.0543,40,it,5.1,1978-12-07
Pantaskah Aku Berhijab,"It tells the story of Sofi who lost her father figure in her life. Then he has to face all sorts of trials of life. luckily he has the support of his best friend. Aqsa. Of the various trials, he then questioned whether he was happy, and whether he should wear a hijab.",2.1663,1,id,7.0,2024-11-21
Boogaloo Shrimp Documentary,"he life story of Michael Chambers aka ""Boogaloo Shrimp: the dancer, actor, singer, comedian and master of waving, ticking, backsliding and liquid animation dance during the 1980's breakdancing phenomenon.",0.8785,2,en,4.0,2019-02-22
Story of Kale: When Someone's in Love,"After leaving a toxic relationship, Dinda embarks on a romance with Kale, whose view on love soon shatters as he wrestles with his own insecurities.",1.26,5,id,7.2,2020-10-23
Elementa,A black-and-white visual meditation of wilderness and the elements. Wildlife filmmaker Richard Sidey returns to the triptych format for a cinematic experience like no other.,1.1528,8,en,6.5,2020-07-04
Honeymoonish,Two newlyweds on their honeymoon discover that they are different in almost every way — but can these opposites attract?,2.0853,78,ar,6.699,2024-04-29
Screamboat,A late-night boat ride turns into a desperate fight for survival in New York City when a mischievous mouse becomes a monstrous reality.,2.2991,1,en,8.0,2025-03-20
Land of the Lost,"On his latest expedition, Dr. Rick Marshall is sucked into a space-time vortex alongside his research assistant and a redneck survivalist. In this alternate universe, the trio make friends with a primate named Chaka, their only ally in a world full of dinosaurs and other fantastic creatures.",2.6616,1326,en,5.4,2009-06-05
Cross of Iron,"It is 1943, and the German army—ravaged and demoralised—is hastily retreating from the Russian front. In the midst of the madness, conflict brews between the aristocratic yet ultimately pusillanimous Captain Stransky and the courageous Corporal Steiner. Stransky is the only man who believes that the Third Reich is still vastly superior to the Russian army. However, within his pompous persona lies a quivering coward who longs for the Iron Cross so that he can return to Berlin a hero. Steiner, on the other hand is cynical, defiantly non-conformist and more concerned with the safety of his own men rather than the horde of military decorations offered to him by his superiors.",1.8896,432,en,7.089,1977-01-29
Kingdom,Set in Qin Dynasty during the warring states period in ancient China. Shin was a war orphan. He has a dream of becoming a great general Shin has a fateful encounter with young King Eisei. King Eisei aims to unify all of China.,2.2636,118,ja,7.233,2019-04-19
La Querida,"A young couple's romance is cut short when the man learns that his woman is married. Meanwhile, an unhappily married husband meets a lonely teacher and they share an illicit affair.",2.3644,6,tl,4.2,2023-02-10
Abomination,"This film takes a peek at the topic of homosexuality, con artists and the role of church leaders in Melanesian communities.",0.8224,1,bi,6.0,2018-01-01
The Wild Bunch,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",2.1387,1220,en,7.6,1969-06-19
Racing Stripes,"Shattered illusions are hard to repair -- especially for a good-hearted zebra named Stripes who's spent his life on a Kentucky farm amidst the sorely mistaken notion that he's a debonair thoroughbred. Once he faces the fact that his stark stripes mark him as different, he decides he'll race anyway. And with help from the young girl who raised him, he just might end up in the winner's circle.",2.0948,623,en,5.876,2005-01-06
The Brand New Adventures of Aladdin,"After freeing Baghdad from its terrible ruler, Aladin delays his marriage to the princess until a new dictator arrives to take over the city.",2.1261,388,fr,4.8,2018-10-03
Very Bad Things,"Kyle Fisher has one last night to celebrate life as a single man before marrying Laura, so he sets out to Vegas with four of his best buddies. But a drug and alcohol filled night on the town with a stripper who goes all the way, turns into a cold night in the desert with shovels when the stripper goes all the way into a body bag after dying in their bathroom. And that's just the first of the bodies to pile up before Kyle can walk down the aisle...",2.0856,631,en,6.3,1998-09-11
A Thousand Words,"Jack McCall is a fast-talking literary agent, who can close any deal, any time, any way. He has set his sights on New Age guru Dr. Sinja for his own selfish purposes. But Dr. Sinja is on to him, and Jack’s life comes unglued after a magical Bodhi tree mysteriously appears in his backyard. With every word Jack speaks, a leaf falls from the tree and he realizes that when the last leaf falls, both he and the tree are toast. Words have never failed Jack McCall, but now he’s got to stop talking and conjure up some outrageous ways to communicate or he’s a goner.",1.9466,1332,en,6.092,2012-03-07
Eyes of an Angel,"John Travolta is a downtrodden single father raising his daughter under difficult circumstances in Chicago. The young girl comes upon and then nurses a wounded Doberman used for fighting, back to health. Duped by underworld types he was working as a courier for, father and daughter leave the dog and flee cross-country to Los Angeles with both canine and mobsters in pursuit.",2.1692,40,en,6.9,1991-07-26
Defiance,"Based on a true story, during World War II, four Jewish brothers escape their Nazi-occupied homeland of West Belarus in Poland and join the Soviet partisans to combat the Nazis. The brothers begin the rescue of roughly 1,200 Jews still trapped in the ghettos of Poland.",2.2562,1755,en,6.848,2008-12-31
Showroom,"Liezl, an ambitious agent, learns that her colleague, Susanah, uses her body to sell condo units; so she imitates her scheme. When the tables turn, Liezl begins to face her punishments one by one.",2.1,6,tl,4.5,2022-11-11
Church Folks,"Pastor Frank is struggling to keep his ministry alive dealing with dwindling attendance and the possibility of their lender foreclosing on their church building. He has to rally his team members to keep the doors of their church open. They decide to revamp their workshop team, update some of Pastor Frank's old messages, and host a city-wide fellowship and fundraiser. Will it be enough to save their struggling ministry?",1.1847,0,en,0.0,2020-12-08
The Immigrant,1921 New York. An immigrant woman is tricked into a life of burlesque and vaudeville until a dazzling magician tries to save her and reunite her with her sister who is being held in the confines of Ellis Island.,1.8636,828,en,6.324,2013-11-27
Underbelly Files: Infiltration,It tells the true story of Victorian detective Colin McLaren who posed as a shady art dealer and infiltrated the Australian branch of the Calabrian Mafia.,1.6431,2,en,5.5,2011-02-14
Bronco Billy,"An idealistic, modern-day cowboy struggles to keep his Wild West show afloat in the face of hard luck and waning interest.",2.0649,269,en,6.3,1980-06-11
Side Effects,A woman turns to prescription medication as a way of handling her anxiety concerning her husband's upcoming release from prison.,2.0957,3122,en,6.6,2013-02-07
The Mothman Prophecies,Reporter John Klein is plunged into a world of impossible terror and unthinkable chaos when fate draws him to a sleepy West Virginia town whose residents are being visited by a great winged shape that sows hideous nightmares and fevered visions.,2.4569,1145,en,6.2,2002-01-25
Mass,"Trey feels small. He is gay, HIV-positive and lonely in NYC. All around him are hulking, powerful men, intimidating and challenging him everywhere he looks. Throughout his day, he obsesses over how to get BIG - and his insecurities keep him trapped in a cycle of trauma and abuse.",1.1705,2,en,1.5,2020-04-17
Tony Fraginals,"In the early 1990s, a bizarre hoax mesmerised the U.S. media landscape and even called Oprah Winfrey to the scene. The occasion: the autobiography of a minor, called “Tony”, who suffers from Aids and syphilis after years of abuse. But despite his numerous celebrity supporters, Tony never appears in public. His adoptive mother, Vicki Johnson, does instead. Now an old friend from Great Britain speaks up at last …",1.1507,0,en,0.0,2019-10-29
You and I,Different cultural backgrounds and the sterile apartment building in the suburbs are not Linda and Sevilay’s problem. The problem for these two 15-year-old friends is their messed up parents. What the two teenagers really want to do is run away. Things come to a head on Linda’s birthday.,2.2349,0,de,0.0,2012-01-16
No Limits: The Thalidomide Saga,"Oscar-winning documentary filmmaker John Zaritsky returns to the story that has fascinated and compelled him for years - thalidomide and it's effect on the survivors of ""the worst drug disaster in history."" In this, his third film on the subject, he reconnects with some of the thalidomide victims he originally profiled when they were young, and introduces us to some new people who have been active in the fight for justice. He also highlights some recently released information about German pharmaceutical giant Grünenthal, who aggressively marketed the drug, and are now selling it again under a different usage, but still with no compensation for those who's lives they affected so deeply. The indefatigable spirit of the extraordinary thalidomide victims is cast against the callousness disregard of the drug's manufacturers in a film that lays out the story from it's beginnings in the late 50s to the current state of affairs in the present day.  —Philip Webley",1.1427,1,en,8.0,2016-05-07
Rainbow Season,"A feature-length meditation on life, love, and transitions, centered around a first-generation backstory, set to the Mirs & KidGusto album of the same name.",1.0295,0,en,0.0,2019-07-24
Mutiny on the Bounty,"Fletcher Christian successfully leads a revolt against the ruthless Captain Bligh on the HMS Bounty. However, Bligh returns one year later, hell bent on revenge.",1.6504,341,en,7.3,1935-11-22
Monster,"A pair of college roommates find a mysterious camera and strange things begin to happen around them. As things start to worsen a scientist claiming to know the truth shows up. However, what he knows is only the tip of the iceberg.",1.1928,0,en,0.0,2020-07-29
Limonov: The Ballad,"A revolutionary militant, a thug, an underground writer, a butler to a millionaire in Manhattan. But also a switchblade-waving poet, a lover of beautiful women, a warmonger, a political agitator, and a novelist who wrote of his greatness. Eduard Limonov’s life story is a journey through Russia, America, and Europe during the second half of the 20th century.",1.7271,58,fr,6.3,2024-09-05
The Unfaithful Wife,"Insurance executive Charles suspects his wife Hélène of playing the field, so he has a private detective locate his wife's lover, author Victor Pegala.",2.2418,111,fr,6.9,1969-01-22
Sex Games,"A rich couple often spices up their sexual relationship by doing their so-called Sex Games. But when they meet a new set of ""playmates""- a conservative couple, their game becomes more challenging.",2.2255,6,tl,4.8,2023-04-28
My Wife's Sister,"Ji-seon is living with her sister and her husband after a divorce. Her sister Ji-yeong leaves for a work trip and Ji-seon is at home all alone with her brother-in-law. The two can't hide their sexual passion and they cross the line. Every time Ji-yeong leaves, the two enjoy risky sex...",2.2285,16,ko,5.1,2016-12-20
The Ghost of Lord Farquaad,"Lord Farquaad was eaten by the dragon, but his ghost has returned, and he's still evil. With the help of his henchman, Thelonious, he kidnaps Fiona. Shrek and the donkey set out to save her, with help from the dragon, before she goes over a waterfall on a raft. This entry is for the 2-D version released on, for example, DVD and Netflix.",2.4192,271,en,6.0,2003-05-23
Female Urologists 2,"Jin Hee is a female urologist who runs a urology department with few patients. One day, a new nurse, Yeon-hee, comes in and works. However, she throws her her whole body in the treatment of patients with an unusual professional spirit. This fact is quickly rumored and patients flock in. Skilled female doctor Jin Hee also starts hot treatment to save the hospital...",1.995,10,zh,5.6,2020-02-20
The Hitcher,"On a stormy night, young Jim, who transports a luxury car from Chicago to California to deliver it to its owner, feeling tired and sleepy, picks up a mysterious hitchhiker, who has appeared out of nowhere, thinking that a good conversation will help him not to fall asleep. He will have enough time to deeply regret such an unmeditated decision.",1.8841,957,en,7.0,1986-01-17
Love on Demand,"Can you find love with an app? In this sweet documentary, Jon-Paul Gates hits the streets London to interview people on the street and one of the world's biggest online dating companies, Badoo. All of this to explore the ups and downs of online dating in the age of social media.",1.0524,0,en,0.0,2019-10-15
Wide Open,"A philandering cab driver decides to help his girlfriend's attractive sister, who is in trouble with drug dealers.",1.7967,13,sv,3.5,1974-12-18
Curve,Soon-to-be bride on her way to a wedding rehearsal is having second thoughts and decides to take a detour. Car breaks down and a hitchiker offers help. Could it be fate?,2.3603,493,en,5.8,2015-08-31
Don't Be Afraid of the Dark,A young girl sent to live with her father and his new girlfriend discovers creatures in her new home who want to claim her as one of their own.,2.2074,1053,en,5.771,2010-11-06
